,Unnamed: 0.24,Unnamed: 0.23,Unnamed: 0.22,Unnamed: 0.21,Unnamed: 0.20,Unnamed: 0.19,Unnamed: 0.18,Unnamed: 0.17,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Bug ID,Product,Component,Assignee,Status,Resolution,Summary,Changed,Created,Importance,Description
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,85531,Tracing/Profiling,Perf tool,acme,NEW, ---,[PATCH]Makefile target perf_install missing libapikfs dependency,2014-10-23 15:46:42,2014-10-03 19:30:00,P1 low,
11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,86991,Tracing/Profiling,Perf tool,acme,NEW, ---,Perf tool performance issues,2014-10-27 11:49:09,2014-10-27 11:49:00,P1 normal,
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,92611,Tracing/Profiling,Perf tool,acme,NEW, ---,event grouping (and other newer event parse features) are not documented,2015-02-03 20:05:21,2015-02-03 20:05:00,P1 normal,
13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,100061,Tracing/Profiling,Perf tool,acme,NEW, ---,perf event command line completion does not support multiple events or groups,2015-06-17 18:08:23,2015-06-17 18:08:00,P1 normal,
14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,100731,Tracing/Profiling,Perf tool,acme,NEW, ---,"perf script/report does not recognize symbols in .so files built with -Wl,Ttext-segment,0xXXXXX",2016-01-05 00:01:00,2015-07-01 03:37:00,P1 normal,
15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,106311,Tracing/Profiling,Perf tool,acme,NEW, ---,"perf 3.13.11-ckt25 fails for perf stat -e 'node-prefetch-misses,mem-loads'",2015-10-20 00:41:59,2015-10-20 00:41:00,P1 low,
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,108091,Tracing/Profiling,Perf tool,acme,NEW, ---,perf script produces the wrong name for executables when threads are named,2015-11-18 02:34:22,2015-11-18 02:31:00,P1 normal,
17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,111051,Tracing/Profiling,Perf tool,acme,NEW, ---,uncore_imc/data_reads counter keeps going up,2016-02-02 15:16:16,2016-01-20 18:41:00,P1 normal,
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,116411,Tracing/Profiling,Perf tool,acme,NEW, ---,tools/perf_clean: output directory XXX does not exist. Stop.,2022-02-24 06:27:16,2016-04-15 14:09:00,P1 normal,
19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,153351,Tracing/Profiling,Perf tool,acme,NEW, ---,access beyond end of buffer in performance event tool,2016-08-18 18:40:52,2016-08-18 18:40:00,P1 normal,
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,156121,Tracing/Profiling,Perf tool,acme,NEW, ---,perf probe should support long(er) kernel probe definitions,2016-09-05 09:53:28,2016-09-05 09:53:00,P1 normal,
21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,192451,Tracing/Profiling,Perf tool,acme,NEW, ---,Perf should support transparent hugepage for executable text section,2022-01-21 07:23:08,2017-01-12 17:24:00,P1 normal,
22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,195473,Tracing/Profiling,Perf tool,acme,NEW, ---,Perf fails to annotate if binary in question came from a path containing spaces,2017-04-20 17:27:46,2017-04-20 17:27:00,P1 normal,
23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,196205,Tracing/Profiling,Perf tool,acme,NEW, ---,Misalignment of timings in perf (annotations),2017-06-27 17:13:54,2017-06-27 17:13:00,P1 normal,
24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,200975,Tracing/Profiling,Perf tool,acme,NEW, ---,perf record outputs profiling data to stdout when not run in a terminal,2018-08-29 23:36:22,2018-08-29 23:03:00,P1 normal,
25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,201551,Tracing/Profiling,Perf tool,acme,NEW, ---,perf no longer resolves module symbols,2018-10-30 02:43:21,2018-10-29 02:40:00,P1 normal,
26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,201927,Tracing/Profiling,Perf tool,acme,NEW, ---,perf segfaults with 460+ events grouped together,2022-01-21 07:05:39,2018-12-07 13:40:00,P1 high,
27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,202051,Tracing/Profiling,Perf tool,acme,NEW, ---,perf OOMs very easily while processing a profile recorded with --call-graph dwarf,2018-12-24 02:29:33,2018-12-23 20:51:00,P1 normal,
28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,203203,Tracing/Profiling,Perf tool,acme,NEW, ---,Perf 'top -p PID' no longer records any samples,2019-09-14 15:29:38,2019-04-09 15:17:00,P1 normal,
29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,203395,Tracing/Profiling,Perf tool,acme,NEW, ---,perf script segfaults after recording an uncore event with group leader sampling,2019-05-06 12:20:29,2019-04-23 10:49:00,P1 normal,
30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,207297,Tracing/Profiling,Perf tool,acme,NEW, ---,sched:sched_stat_sleep does not get recorded,2020-04-16 11:29:28,2020-04-16 08:36:00,P1 normal,
31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,207323,Tracing/Profiling,Perf tool,acme,NEW, ---,[RFE] Latency profiling capability,2022-01-21 06:55:58,2020-04-17 14:38:00,P1 normal,
32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,207777,Tracing/Profiling,Perf tool,acme,NEW, ---,Userspace frames are missing despite -fno-omit-frame-pointer,2020-05-18 20:08:35,2020-05-18 15:29:00,P1 normal,
33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,207853,Tracing/Profiling,Perf tool,acme,NEW, ---,perf record hangs when recording trace events,2020-05-22 08:37:10,2020-05-22 08:37:00,P1 normal,
34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,211495,Tracing/Profiling,Perf tool,acme,NEW, ---,perf in 4.19.y fails to build with lto enabled perl,2021-04-26 05:12:23,2021-01-31 10:55:00,P1 normal,
35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,211801,Tracing/Profiling,Perf tool,acme,NEW, ---,perf: util/unwind-libdw.c:30: __find_debuginfo: Assertion `dso' failed.,2021-02-19 11:05:42,2021-02-16 14:24:00,P1 high,
36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,215510,Tracing/Profiling,Perf tool,acme,NEW, ---,Remove -I tools/lib from perf build,2022-01-21 07:55:32,2022-01-21 07:55:00,P1 normal,
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,200843,ACPI,Power-Thermal,acpi_acpica-core,NEW, ---,false sensors'cpu temperature - Amd ryzen 1700x,2020-01-24 10:15:35,2018-08-17 16:31:00,P1 high,
38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,202655,ACPI,ACPICA-Core,acpi_acpica-core,NEW, ---,"AE_NOT_FOUND, While resolving a named reference package element GA-MA790XT-UD4P - AMD Phenom™ II X6",2019-09-07 09:44:45,2019-02-23 16:47:00,P1 normal,
39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,202729,ACPI,ACPICA-Core,acpi_acpica-core,NEW, ---,"ACPI Error: AE_NOT_FOUND, While resolving a named reference package element - AMD Phenom™ II",2019-09-07 09:41:24,2019-03-02 21:05:00,P1 normal,
40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,210013,ACPI,ACPICA-Core,acpi_acpica-core,NEW, ---,"Failure creating named object [\_SB.I2CA.WT1A], AE_ALREADY_EXISTS (20200528/dswload2-326) - AMD Threadripper 3970x",2022-01-20 16:36:16,2020-11-02 20:08:00,P1 enhancement,
41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,213765,ACPI,ACPICA-Core,acpi_acpica-core,NEW, ---,"ACPI BIOS Error (bug): AE_AML_PACKAGE_LIMIT, Index (0x000000003) is beyond end of object (length 0x0) (20201113/exoparg2-393)",2021-07-17 14:37:28,2021-07-17 14:34:00,P1 high,
42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,215101,ACPI,ACPICA-Core,acpi_acpica-core,NEW, ---,"ASUS PRIME TRX40-PRO: ""ACPI BIOS Error (bug): Failure creating named object""",2022-02-04 20:12:18,2021-11-22 13:36:00,P1 normal,
43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,215345,ACPI,BIOS,acpi_acpica-core,NEW, ---,ACPI issues break ELAN071B:00 touchpad: sometimes working after restarting i2c_hid_acpi - AMD Ryzen 7 4700U with Radeon Graphics,2022-02-14 06:41:05,2021-12-17 03:34:00,P1 normal,
44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,215419,ACPI,ACPICA-Core,acpi_acpica-core,NEW, ---,100 ms regression in boottime before `ACPI: PCI Root Bridge [PCI0]`,2022-02-20 20:12:09,2021-12-26 22:49:00,P1 normal,
45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,215454,ACPI,ACPICA-Core,acpi_acpica-core,NEW, ---,Ubuntu can't boot with acpi=off on kernel 5.11 and boots fine with kernel 5.4.0-26.30,2022-01-07 10:43:37,2022-01-05 09:14:00,P1 normal,
46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,215559,ACPI,ACPICA-Core,acpi_acpica-core,NEW, ---,ACPI Error: No handler for Region [CMS0],2022-02-02 06:47:36,2022-02-02 06:47:00,P1 normal,
47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,215581,ACPI,ACPICA-Core,acpi_acpica-core,NEW, ---,BUG: soft lockup in 5.17-rc3 kernel,2022-02-08 08:12:26,2022-02-08 08:12:00,P1 normal,
48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,197151,ACPI,BIOS,acpi_bios,NEW, ---,Ryzen 7 1700 detect only one core with acpi=off on B350 Plus motherboard,2017-10-13 02:37:48,2017-10-07 05:17:00,P1 normal,
49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,201751,ACPI,BIOS,acpi_bios,NEW, ---,"Failure creating [\_SB.SMIC], AE_ALREADY_EXISTS - AMD Ryzen 5 2400G",2019-01-09 17:32:15,2018-11-22 06:00:00,P1 normal,
50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,203855,ACPI,BIOS,acpi_bios,NEW, ---,System hangs at loading initramfs ASUS KGPE_D16 coreboot - AMD Opteron(tm) Processor 6380,2019-09-02 07:52:14,2019-06-09 17:08:00,P1 normal,
51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,207981,ACPI,BIOS,acpi_bios,NEW, ---,"ACPI Error: AE_NOT_FOUND, During name lookup/catalog (20200110/psobject-220) for ASUS TUF FX505DT laptop",2021-10-26 05:06:04,2020-05-29 22:38:00,P1 normal,
52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,213845,EFI,Boot,acpi_bios,NEW, ---,[ 0.096072] DMAR: [Firmware Bug]: No firmware reserved region can cover this (at boot),2021-07-26 07:08:53,2021-07-25 10:28:00,P1 normal,
53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,215733,ACPI,BIOS,acpi_bios,NEW, ---,Multiple `ACPI BIOS Error (bug)` entries in `dmesg` on Dell Inspiron 15 Plus 7510,2022-03-23 15:20:29,2022-03-23 15:19:00,P1 normal,
54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,215760,ACPI,BIOS,acpi_bios,NEW, ---,"ACPI BIOS Error (bug): Failure creating named object [\_SB.PCI0.GP17.XHC0._S0W], AE_ALREADY_EXISTS (20211217/dswload2-326)",2022-03-27 16:47:48,2022-03-27 16:47:00,P1 high,
55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,196013,Drivers,HotPlug,acpi_config-hotplug,NEW, ---,Thunderbolt Dock Disconnection Causes Kernel Panic,2017-06-19 23:56:04,2017-06-07 16:05:00,P1 high,
56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,107051,Drivers,Platform_x86,acpi_config-interrupts,NEW, ---,GPIO not working on Bay Trail Crystal Cove PMIC,2016-07-25 20:44:48,2015-11-02 17:17:00,P1 normal,
57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,214945,ACPI,Config-Interrupts,acpi_config-interrupts,NEW, ---,"PCI-E serial card works only with ""noapic"" - Intel(R) Xeon(R) CPU E5-2650 v4 @ 2.20GHz",2022-02-14 06:39:09,2021-11-04 14:30:00,P1 high,
58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,203431,ACPI,Config-Processors,acpi_config-processors,NEW, ---,"Dell Inspiron 5485/5585, poor ACPI flags; requiring ACPI=off - AMD Ryzen",2020-01-11 06:13:46,2019-04-26 10:32:00,P1 normal,
59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,208785,ACPI,Config-Processors,acpi_config-processors,NEW, ---,"ThunderX2: Thousands errors ""PCC check channel failed for ss: XXX. ret=-110"" -  Gigabyte R281-T94 server based on two 32-cores ThunderX2 ARM processor",2020-10-09 06:32:18,2020-08-03 12:49:00,P1 normal,
60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,203041,ACPI,Config-Tables,acpi_config-tables,NEW, ---,AE_AML_BUFFER_LIMIT - Asus FX705DY - AMD Ryzen 5,2021-07-18 10:40:42,2019-03-25 19:48:00,P1 normal,
61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,203519,ACPI,Config-Tables,acpi_config-tables,NEW, ---,Linux is not bootable on Lenovo Thinkpad E485 due to ACPI bug - AMD Ryzen 5 2500U,2020-01-24 10:46:54,2019-05-05 20:43:00,P1 normal,
62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,214803,ACPI,Config-Tables,acpi_config-tables,NEW, ---,"ACPI Errors RTEC, _REG (AE_NOT_EXIST) - Razer Blade Stealth 13",2022-02-14 06:37:33,2021-10-24 17:07:00,P1 normal,
63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,215587,ACPI,Config-Tables,acpi_config-tables,NEW, ---,UBSAN: invalid-load in drivers/acpi/cppc_acpi.c:314:45 - AMD Ryzen 9 5950X,2022-02-14 06:44:06,2022-02-10 19:01:00,P1 normal,
64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,215588,ACPI,Config-Tables,acpi_config-tables,NEW, ---,UBSAN: invalid-load in drivers/mailbox/pcc.c:684:22 - AMD Ryzen 9 5950X,2022-02-14 06:44:14,2022-02-10 19:05:00,P1 normal,
65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,214205,ACPI,EC,acpi_ec,NEW, ---,"thermal sensor broken after resume, fan speed at 100% speed on Lenovo ThinkPad Carbon X1 4th Gen",2022-02-21 22:21:14,2021-08-27 20:30:00,P1 normal,
66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,183851,ACPI,Other,acpi_other,NEW, ---,pci(e) ethernet nonworking when without acpi=off when using pcie-switch based eth card - Asus A88XM-PLUS/AMD,2017-08-22 07:14:19,2016-10-27 08:18:00,P1 normal,
67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,194825,ACPI,Other,acpi_other,NEW, ---,"""unexpected irq trap at vector 7"" - AMD Ryzen 7 1700X Eight-Core Processor + GA-AB350-Gaming-3 motherboard",2020-12-13 06:33:55,2017-03-09 11:15:00,P1 normal,
68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,200863,ACPI,Config-Other,acpi_other,NEW, ---,After upgrading from 4.4.0 to 4.15.0 system doesn't boot - AMD Athlon(tm) 64 X2 Dual Core Processor 6000+,2018-08-30 03:19:35,2018-08-19 17:40:00,P1 high,
69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,213947,ACPI,Other,acpi_other,NEW, ---,I2C HID ACPI Driver Problem - AMD Ryzen 5600h HP Pavillion Gaming 15 EC2000NV,2021-12-16 14:44:46,2021-08-02 17:52:00,P1 normal,
70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,214469,Process Management,Preemption,acpi_other,NEW, ---,mce_setup BUG: using smp_processor_id() in preemptible [00000000] code: swapper/0/1,2021-10-30 06:24:02,2021-09-20 12:30:00,P1 normal,
71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,215626,ACPI,Other,acpi_other,NEW, ---,Acpi error in Dmesg,2022-03-02 10:50:01,2022-02-20 09:52:00,P1 blocking,
72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,208341,ACPI,Power-Battery,acpi_power-battery,NEW, ---,[ThinkPad] Brightness-Power Supply Issue Kernel 5.8-rc's - AMD Ryzen 7 2700U/Vega 8,2020-12-09 16:49:22,2020-06-27 05:11:00,P1 normal,
73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,214811,ACPI,Power-Battery,acpi_power-battery,NEW, ---,Last full battery capacity reports higher than the design capacity - Razer Blade Stealth 13,2022-02-14 06:37:56,2021-10-25 09:27:00,P1 low,
74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,215155,ACPI,Power-Battery,acpi_power-battery,NEW, ---,"Fujitsu Lifebook A3510 - battery absent, AC status changes not reported",2022-01-10 20:12:47,2021-11-27 22:46:00,P1 normal,
75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,215651,ACPI,Power-Battery,acpi_power-battery,NEW, ---,Battery charge limit is reset on every boot on ASUS laptops,2022-03-05 23:12:11,2022-03-02 07:17:00,P1 normal,
76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,205405,Drivers,Platform,acpi_power-fan,NEW, ---,thinkpad_acpi only detects 1 of 2 fans,2019-11-03 20:14:32,2019-11-03 17:26:00,P1 normal,
77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,199349,ACPI,Power-Off,acpi_power-off,NEW, ---,"System hangs on shutdown/reboot with newer kernel - Toshiba Satellite A210 (AMD Turion X2, ATI Radeon HD2600)",2019-08-24 05:09:52,2018-04-11 07:00:00,P1 high,
78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,200079,ACPI,Power-Off,acpi_power-off,NEW, ---,Wyse 7010 thin client doesn't fully power off - AMD G-T56N Processor,2018-12-12 04:32:05,2018-06-14 16:49:00,P1 normal,
79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,201965,ACPI,Power-Off,acpi_power-off,NEW, ---,"Power off / Shutdown hangs after echoing ""Reboot: Power down"" on DELL / WYSE Thin Client - AMD G-T56N",2019-03-14 14:45:06,2018-12-12 03:09:00,P1 normal,
80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,207999,ACPI,Power-Off,acpi_power-off,NEW, ---,"HP ENVY x360 wan't poweroff - HP Envy x360, AMD Ryzen 7 2700u",2020-06-22 13:44:03,2020-05-31 12:51:00,P1 normal,
81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,215271,ACPI,Power-Off,acpi_power-off,NEW, ---,Alder Lake system fails to shutdown,2022-02-19 10:19:32,2021-12-09 00:36:00,P1 normal,
82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,203035,ACPI,Power-Other,acpi_power-other,NEW, ---,AC Adapter not recognized properly on Acer Predator Helios 500 PH517-61-R0GX - AMD Ryzen 7 2700,2020-07-29 09:17:52,2019-03-25 15:42:00,P1 normal,
83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,208973,ACPI,Power-Other,acpi_power-other,NEW, ---,Problem with acpi in Linux Mint 20 -  AMD A4,2020-10-09 06:30:06,2020-08-20 11:35:00,P1 normal,
84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,208569,ACPI,Power-Processor,acpi_power-processor,NEW, ---,Problems with Cool'n'Quiet on Ryzen CPUs,2020-07-15 13:31:22,2020-07-15 13:31:00,P1 normal,
85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,215797,ACPI,Power-Processor,acpi_power-processor,NEW, ---,Lenovo IdeaPad won't resume from suspend while plugged into AC adapter,2022-04-04 16:03:09,2022-04-03 23:53:00,P1 normal,
86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,208095,ACPI,Power-Sleep-Wake,acpi_power-sleep-wake,NEW, ---,"Cant use sleep/hibernate (hibernate now works, sleep does not) - HP envy x360, AMD Ryzen 5 3500U",2020-08-18 23:40:31,2020-06-07 07:06:00,P1 high,
87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,209565,ACPI,Power-Sleep-Wake,acpi_power-sleep-wake,NEW, ---,AMD modern standby is not supported on 4000 series laptop,2020-11-23 15:20:01,2020-10-07 15:10:00,P1 normal,
88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,211585,ACPI,Power-Sleep-Wake,acpi_power-sleep-wake,NEW, ---,Laptop hangs on second suspend unless a file is written to second disk - Intel Core i7-5500U Acer Aspire R13,2021-12-16 14:42:36,2021-02-06 01:21:00,P1 normal,
89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,212539,ACPI,Power-Sleep-Wake,acpi_power-sleep-wake,NEW, ---,AMD modern standby is not supported on Ryzen 5000 APU series laptop,2021-07-06 15:36:52,2021-04-03 10:50:00,P1 normal,
