,Unnamed: 0,Bug ID,Product,Component,Assignee,Status,Resolution,Summary,Changed
29,29,211713,Power Management,78,rjw,NEW, ---,crash on suspend - amd 3700u,2021-02-12 10:02:51
30,30,212039,Power Management,78,rjw,NEW, ---,"pci_command randomly flips to 0 after system resume, breaks the xhci, hmb nvme, and all other pci devices",2021-07-13 10:56:55
31,31,213717,Power Management,78,rjw,NEW, ---,hp spectre 13-aw2002 can't reach s0ix,2022-03-14 19:01:48
32,32,213973,Power Management,78,rjw,NEW, ---,intel igp displayport output does not resume from suspend (while hdmi does),2021-08-04 17:52:12
33,33,214019,Power Management,78,rjw,NEW, ---,suspend-to-ram/resume sometimes fails if pavucontrol is running under pipewire,2021-08-10 12:48:06
34,34,214743,Power Management,78,rjw,NEW, ---,suspend / resume hardware clock set 68 hours ahead,2021-10-16 23:37:43
35,35,215049,Power Management,78,rjw,NEW, ---,s0ix: dell xps 15 9500 can't achieve s0ix,2021-12-18 18:30:34
36,36,215063,Power Management,78,rjw,NEW, ---,dell xps 13 9305 can't reach s0ix,2022-04-22 14:17:58
37,37,215115,Power Management,1,rjw,NEW, ---,uninitialized freq use,2021-11-23 03:00:40
38,38,215221,Power Management,1,rjw,NEW, ---,higher power consumption with kernel 5.15,2021-12-05 09:52:19
39,39,215343,Power Management,78,rjw,NEW, ---,suspend to loop device hangs,2022-01-25 10:26:09
40,40,215395,Power Management,78,rjw,NEW, ---,"hibernate/suspend resume to a black screen -  asus fx505dt, amd ryzen 3550h",2022-02-14 06:41:32
41,41,215686,Power Management,78,rjw,NEW, ---,s0ix: lenovo l13 yoga gen 2 s2idle fails after charging,2022-03-26 08:46:22
42,42,215832,Power Management,78,rjw,NEW, ---,pcie aspm-related trouble with s0ix on thinkpad x1 (nvme-related?),2022-05-05 21:50:24
43,43,215880,Power Management,78,rjw,NEW, ---,resume process hangs for 5-6 seconds starting sometime in 5.16,2022-05-06 20:49:15
44,44,215884,Power Management,134,rjw,NEW, ---,pme: spurious native interrupt,2022-05-01 14:35:21
45,45,215913,Power Management,78,rjw,NEW, ---,call trace after suspend (restore_processor_state),2022-04-28 13:03:52
46,46,215933,Power Management,1,rjw,NEW, ---,s0ix me ltr_ignore required for opportunistic s0ix,2022-05-02 17:13:37
47,47,215942,Power Management,78,rjw,NEW, ---,system keep crashing when put in sleep mode,2022-05-04 22:18:20
48,48,203733,Power Management,137,rui.zhang,NEW, ---,cpu freq stuck at 400mhz when cpu is fully loaded and video card is used - amd ryzen 3550h,2020-10-09 07:05:43
49,49,205341,Power Management,78,rui.zhang,NEW, ---,s0ix: unable to achieve s0ix - surface book 1 and surface pro 4,2020-06-23 11:30:52
50,50,208595,Power Management,1,rui.zhang,NEW, ---,boot performance: 400 ms spent in power resource detection,2022-02-18 09:48:36
51,51,209931,Power Management,1,rui.zhang,NEW, ---,boot performance: power resource [pin] results in 260 ms delay - dell xps 13 9310,2021-03-22 05:46:08
52,52,210549,Power Management,1,rui.zhang,NEW, ---,boot performance: dell precision 3540: acpi_init takes 600 ms,2022-02-18 09:50:20
53,53,212377,Power Management,134,rui.zhang,NEW, ---,[tgl]intel sata core can't get into suspend,2021-04-26 03:05:48
54,54,212507,Power Management,137,rui.zhang,NEW, ---,switching ipa and step_wise governors screw up tz->passive,2021-04-09 11:45:05
55,55,213865,Power Management,137,rui.zhang,NEW, ---,2020 lenovo legion laptop immediately shutting down (b15df2c465d7f6951d9f600d6f837000ecde3923),2021-07-27 05:38:24
56,56,210741,Power Management,114,yu.c.chen,NEW, ---,intel_pstate and intel_idle: hwp  and c1e are incompatible.,2021-03-29 22:56:20
57,57,213263,Power Management,137,daniel.lezcano,ASSIGNED, ---,rfe: ability to filter thermal netlink messages,2021-05-31 12:50:36
58,58,210735,Power Management,78,yu.c.chen,ASSIGNED, ---,system suspend to idle and s3 fail if cpu0 is offline,2021-06-07 01:38:10
59,59,199135,Power Management,78,rjw,REOPENED, ---,s0ix: no residency in s0ix - onda v891w z3735f,2019-12-31 05:53:45
60,60,209309,Power Management,1,rjw,REOPENED, ---,pm: pm_sleep_smp overleaps kconfig dependencies of hotplug_cpu,2021-06-02 08:12:15
61,61,116671,Power Management,116,rui.zhang,REOPENED, ---,"kernel power policy doesn't allow mobile intel processors to enter deep pc states, potentially reducing system lifespan",2018-10-17 02:55:51
62,62,198909,Power Management,78,rui.zhang,REOPENED, ---,acpi_pm_finish: 10x performance regression on xps 13 9360,2020-06-29 12:26:41
63,63,199113,Power Management,1,rui.zhang,REOPENED, ---,boot/suspend/resume performance: int3403_driver_init needs over 330 ms to finish - dell xps 13 9370,2021-03-22 05:38:05
64,64,208703,Power Management,1,rui.zhang,REOPENED, ---,boot performance: pnp acpi init has 100 ms delay until quirk message - acer travelmate 5735z,2021-12-26 22:51:17
65,65,208705,Power Management,1,rui.zhang,REOPENED, ---,boot performance: 100 ms delay in pci initialization - acer travelmate 5735z,2022-02-20 20:21:03
66,66,205557,Power Management,134,drivers_network-wireless,RESOLVED,DUPLICATE,parts of kernel hangs completely (mutex-lock),2019-12-05 10:18:16
67,67,209203,Power Management,114,drivers_other,RESOLVED,PATCH_ALREADY_AVAILABLE,cpufreq/intel_pstate.c: 'set_power_ctl_ee_state' seems to write wrong bit,2020-12-29 11:05:14
68,68,200417,Power Management,78,kees,RESOLVED,DUPLICATE,[32bits] can't resume from hibernation if kaslr is enabled,2018-08-05 00:28:05
69,69,191441,Power Management,78,kookoo.gu,RESOLVED,CODE_FIX,[32bits linux]hibernate hangs while shutting down or hangs when restoring memory image while booting.(if the dram exceed 3g),2018-12-27 04:58:07
70,70,101671,Power Management,114,kristen.c.accardi,RESOLVED,CODE_FIX,after suspend turbo is disabled,2015-11-08 22:08:26
71,71,207917,Power Management,115,kristen.c.accardi,RESOLVED,UNREPRODUCIBLE,"i5-10210u hardly using package c-states, but idle power usage very low",2020-06-25 22:03:27
74,74,106121,Power Management,115,lenb,RESOLVED,CODE_FIX,cpu doesn't enter deeper c states with all its cores after suspend,2015-11-08 22:08:10
75,75,114841,Power Management,115,lenb,RESOLVED,PATCH_ALREADY_AVAILABLE,intel_idle doesn't fix up msrs on resume,2017-03-28 08:56:30
77,77,177161,Power Management,118,lenb,RESOLVED,CODE_FIX,cpu frequencies in /proc/cpuinfo aren't dynamically updated,2016-10-28 17:25:23
78,78,196127,Power Management,115,lenb,RESOLVED,UNREPRODUCIBLE,intel_idle.max_cstate=1 required to prevent crashes - braswell - hp 250 g5 laptop,2017-07-17 00:58:25
79,79,196367,Power Management,1,lenb,RESOLVED,PATCH_ALREADY_AVAILABLE,turbostat shows only half of amd cpus,2018-10-17 03:47:34
80,80,196369,Power Management,1,lenb,RESOLVED,CODE_FIX,turbostat is not working on amd boxes with opteron 6276 cpus with 4.11* and 4.12* kernels,2017-07-23 13:45:14
81,81,196969,Power Management,116,lenb,RESOLVED,DUPLICATE,cpuidle panic,2017-09-18 15:56:26
82,82,120561,Power Management,118,linux-pm,RESOLVED,CODE_FIX,powernow_k8 causes kernel panic during block device write access,2019-07-02 22:21:56
83,83,194963,Power Management,118,linux-pm,RESOLVED,PATCH_ALREADY_AVAILABLE,schedutil governor causes audio problem in game,2017-05-07 14:58:17
84,84,198995,Power Management,118,linux-pm,RESOLVED,PATCH_ALREADY_AVAILABLE,conservative governor is broken in linux 4.15: refuses to keep cpu cores at maximum frequency,2018-06-07 03:17:35
85,85,201045,Power Management,118,linux-pm,RESOLVED,INSUFFICIENT_DATA,acer aspire 315-41g with ryzen 3 2200u  runs constantly at turbo frequency after waking from suspend,2018-12-30 20:12:36
86,86,206307,Power Management,118,linux-pm,RESOLVED,CODE_FIX,amd ryzen cpu frequency monitoring subsystem is insufficient,2022-04-11 07:23:59
87,87,211305,Power Management,118,linux-pm,RESOLVED,PATCH_ALREADY_AVAILABLE,schedutil selects low p-states on amd epyc with frequency invariance,2021-02-15 15:30:32
88,88,211791,Power Management,118,linux-pm,RESOLVED,CODE_FIX,amd cpu /proc/cpuinfo reported max potential boost frequency instead of actual operating frequency,2022-05-06 19:10:44
89,89,153361,Power Management,78,rjw,RESOLVED,CODE_FIX,kernel panic on s2ram,2016-08-20 19:06:07
92,92,172311,Power Management,78,rjw,RESOLVED,PATCH_ALREADY_AVAILABLE,x200 - wifi led stays off after wake,2016-09-25 10:23:03
94,94,192471,Power Management,78,rjw,RESOLVED,CODE_FIX,suspend broken on thinkpad p50 in 4.8 kernels,2017-01-16 02:21:44
95,95,192591,Power Management,78,rjw,RESOLVED,PATCH_ALREADY_AVAILABLE,suspend to idle & ram issues on dell xps 13 9365,2021-10-15 18:00:01
96,96,194807,Power Management,78,rjw,RESOLVED,DUPLICATE,[e1000e] unable to resume from hibernation,2017-03-13 02:18:34
97,97,195445,Power Management,1,rjw,RESOLVED,PATCH_ALREADY_AVAILABLE,high battery usage after shutdown - hp notebook -  intel i7 6500,2017-05-03 18:25:58
98,98,198389,Power Management,78,rjw,RESOLVED,PATCH_ALREADY_AVAILABLE,s2idle: surface pro 3 suspend/resume issues,2018-01-11 00:18:02
99,99,198763,Power Management,78,rjw,RESOLVED,CODE_FIX,suspend2ram broken on 4.16-rcx (32-bit non-pae),2018-03-05 16:22:02
100,100,199747,Power Management,78,rjw,RESOLVED,DOCUMENTED,resume from hibernate results in kernel panic (bisected),2018-05-18 09:42:42
101,101,199941,Power Management,78,rjw,RESOLVED,PATCH_ALREADY_AVAILABLE,system freeze the third time suspending (with custom udev rules),2018-06-29 08:24:18
102,102,200909,Power Management,78,rjw,RESOLVED,CODE_FIX,"regression since 4.17, lenovo thinkpad, immediate wakeup/resume after suspend",2018-10-04 09:48:45
103,103,201305,Power Management,78,rjw,RESOLVED,PATCH_ALREADY_AVAILABLE,"laptop needs ""nomodeset"" to hibernate. - amd a12-9720p radeon r7 rx540",2021-03-23 20:51:54
104,104,201309,Power Management,78,rjw,RESOLVED,PATCH_ALREADY_AVAILABLE,acpi code triggers ktime_get() complaint during resume - in virtual machine,2018-11-01 00:05:42
105,105,201353,Power Management,78,rjw,RESOLVED,CODE_FIX,ubuntu 18.10 - alienware 17 r5 crashes on sleep,2018-10-17 01:00:29
106,106,201519,Power Management,78,rjw,RESOLVED,PATCH_ALREADY_AVAILABLE,using direct-complete with radeon breaks system-wide suspend - hp probook 4540s,2019-02-14 23:28:34
107,107,201523,Power Management,78,rjw,RESOLVED,DUPLICATE,dell xps 13 9370 unable to enter c0ix sleep states,2021-12-18 18:41:04
108,108,201587,Power Management,78,rjw,RESOLVED,UNREPRODUCIBLE,s0ix: unable to enter s0ix - hp elitebook folio g1  (skl),2020-02-21 07:37:29
109,109,201679,Power Management,1,rjw,RESOLVED,DUPLICATE,"macbook air 6,1: no battery detected with acpi_osi=; package c state no lower than pc3 without acpi_osi= boot parameter",2019-01-24 12:54:39
111,111,201997,Power Management,78,rjw,RESOLVED,CODE_FIX,"with kernel 4.19.6 and above, suspend to s3 is broken",2019-02-18 10:45:05
113,113,202137,Power Management,78,rjw,RESOLVED,DUPLICATE,"systemctl suspend doesn't sleep cpu properly anymore - acer cb3-532, banon, braswell chromebook",2019-03-11 03:17:23
115,115,202959,Power Management,78,rjw,RESOLVED,DUPLICATE,hp pavilion x360 - 14-ba007ca headphones plugged into 'line out' is seen as unplugged after suspend,2019-03-26 12:30:56
116,116,203287,Power Management,78,rjw,RESOLVED,OBSOLETE,"resume broken since -next20190330, disk issue - dell inspiron 3537",2019-05-02 13:34:35
117,117,203833,Power Management,116,rjw,RESOLVED,UNREPRODUCIBLE,teo governor occasionally causes processes to hog the cpu,2019-07-15 23:02:33
118,118,204187,Power Management,78,rjw,RESOLVED,CODE_FIX,system76 oryx pro (oryp5) with 5.3: fail to resume from suspend,2019-09-30 01:02:46
120,120,204717,Power Management,78,rjw,RESOLVED,UNREPRODUCIBLE,"hp elite x2 1013 g3 spontaneously wakeup from suspend freeze, which is default on this tablet",2020-09-26 20:53:11
121,121,205057,Power Management,78,rjw,RESOLVED,PATCH_ALREADY_AVAILABLE,s0ix: first time suspend not enter s0ix - bay trail-cr and onda v891w,2020-06-05 16:25:27
122,122,205587,Power Management,134,rjw,RESOLVED,CODE_FIX,amd ryzen5/7 xhci controllers fail to runtime resume,2019-12-16 09:10:07
123,123,205623,Power Management,134,rjw,RESOLVED,CODE_FIX,runpm broken on nvidia gpus with 0x1901 intel bridge controller,2020-04-14 10:13:59
124,124,207027,Power Management,1,rjw,RESOLVED,DUPLICATE,trouble turning off input devices,2020-04-12 09:31:20
125,125,207155,Power Management,1,rjw,RESOLVED,DOCUMENTED,a request for reverting : pm: qos: get rid of unused flags,2020-04-09 09:42:03
127,127,207477,Power Management,78,rjw,RESOLVED,OBSOLETE,regression: powers down before suspend/hibernate is completed. non-boot cpus stopped at resume time. hibernate image is not written.,2020-05-13 10:14:51
128,128,207603,Power Management,1,rjw,RESOLVED,PATCH_ALREADY_AVAILABLE,s2idle loops in s2idle_enter before actually entering s2idle,2020-07-29 02:09:03
129,129,208479,Power Management,1,rjw,RESOLVED,PATCH_ALREADY_AVAILABLE,higher than actual load average reported.,2020-07-24 00:08:37
130,130,208841,Power Management,78,rjw,RESOLVED,UNREPRODUCIBLE,sshfs prevents suspend,2020-08-26 08:44:28
131,131,208871,Power Management,78,rjw,RESOLVED,UNREPRODUCIBLE,"[bisected][regression] 5.8.0-1, 5.7.11 and .14 fail to suspend on dell xps l502x",2020-11-04 08:31:27
132,132,209409,Power Management,1,rjw,RESOLVED,CODE_FIX,drivers/power/supply/sbs-battery.c fail on arm64  rk3399 gru-kevin chromebook,2020-11-01 20:56:28
133,133,210207,Power Management,78,rjw,RESOLVED,PATCH_ALREADY_AVAILABLE,non-functional standby,2020-11-26 22:38:08
134,134,212767,Power Management,78,rjw,RESOLVED,PATCH_ALREADY_AVAILABLE,"`freeze`-suspend causes stacktrace, and ""config space inaccessible"" for multiple pci devices",2021-07-19 12:53:49
135,135,214855,Power Management,78,rjw,RESOLVED,CODE_FIX,s0ix: resume on lid close on thinkpad x1 carbon gen 9,2022-02-14 10:43:49
136,136,214965,Power Management,78,rjw,RESOLVED,CODE_FIX,"device descriptor read/64, error -110 in recent 5.14.x kernels",2021-12-30 20:14:17
137,137,215393,Power Management,78,rjw,RESOLVED,DUPLICATE,hibernate/suspend resume to a black screen,2021-12-23 10:27:05
138,138,215427,Power Management,78,rjw,RESOLVED,UNREPRODUCIBLE,system freeze totally when entering hibernation,2022-01-12 23:02:04
139,139,215641,Power Management,78,rjw,RESOLVED,UNREPRODUCIBLE,dell g15 5510 s2idle fails in 5.16.11 works in 5.16.10,2022-03-19 17:15:00
140,140,215747,Power Management,78,rjw,RESOLVED,DUPLICATE,mouse gets sluggish after suspend/resume and power usage significant higher after resume,2022-04-09 21:18:44
141,141,215833,Power Management,1,rjw,RESOLVED,ANSWERED,cpu: 0 pid: 60 at drivers/gpu/drm/amd/amdgpu/../pm/powerplay/smumgr/smu8_smumgr.c:98 smu8_send_msg_to_smc_with_parameter+0x103/0x150 [amdgpu],2022-04-14 12:44:46
142,142,215847,Power Management,78,rjw,RESOLVED,CODE_FIX,kernel 5.17.3 breaks resume after suspend,2022-04-18 08:52:59
143,143,63171,Power Management,78,rui.zhang,RESOLVED,CODE_FIX,silverseraph: suspend to ram does no more work with recent kernels.,2022-04-18 20:07:38
144,144,156441,Power Management,78,rui.zhang,RESOLVED,CODE_FIX,bisected: laptop cannot suspend after update to kernel 4.5.3 (up to 4.7.2) with powersaving udev rule - go direct_complete if driver has no callbacks - amd samsung 305,2018-03-11 17:01:27
145,145,186231,Power Management,78,rui.zhang,RESOLVED,DUPLICATE,pm_prepare_console takes 1.5 seconds to finish when entering freeze mode - lenove b41,2016-11-17 12:12:25
146,146,187091,Power Management,78,rui.zhang,RESOLVED,DUPLICATE,"bluetooth needs 2s after resume, or else it causes delay/crash if the second suspend is delivered immediately - lenovo yoga 900",2016-11-09 06:17:15
147,147,194935,Power Management,78,rui.zhang,RESOLVED,CODE_FIX,overheating due to invalid suspend - razer blade 2016,2017-04-13 09:11:10
148,148,196861,Power Management,78,rui.zhang,RESOLVED,CODE_FIX,"s0ix enablement - asus e200ha (atom x5-z8300, cherrytrail)",2018-12-27 11:29:04
149,149,198231,Power Management,137,rui.zhang,RESOLVED,CODE_FIX,acpi int3400:00: unsupported event [0x86],2018-01-08 02:09:38
150,150,198433,Power Management,78,rui.zhang,RESOLVED,CODE_FIX,"resuming after suspend goes to bios in 32 bit, is ok on 64 bit",2018-03-16 22:19:28
151,151,199497,Power Management,137,rui.zhang,RESOLVED,PATCH_ALREADY_AVAILABLE,emul_temperature uses 0 as disable,2018-06-13 02:51:04
152,152,201509,Power Management,78,rui.zhang,RESOLVED,PATCH_ALREADY_AVAILABLE,[bisected][regression] force lpss quirks on boot prevents s2idle on baytrail,2018-11-25 17:43:51
153,153,202671,Power Management,137,rui.zhang,RESOLVED,CODE_FIX,int3403 thermal probe of int3403 failed with error -22,2019-03-11 02:52:12
154,154,208603,Power Management,78,rui.zhang,RESOLVED,DOCUMENTED,unable to resume from deep sleep (s3)  although all pm_test modes worked - dell xps 15 9500 9300,2021-12-18 18:21:16
155,155,212057,Power Management,78,rui.zhang,RESOLVED,DUPLICATE,see bug id 211027 display standby not wakeable,2021-03-21 16:26:13
156,156,212501,Power Management,137,rui.zhang,RESOLVED,CODE_FIX,ipa governor always sets the cooling device state to zero when there is no mitigation,2021-05-31 08:32:19
157,157,213831,Power Management,1,rui.zhang,RESOLVED,DOCUMENTED,turbostat no longer works under a normal user: turbostat: setpriority(-20): permission denied,2021-07-27 16:56:54
159,159,113551,Power Management,114,srinivas.pandruvada,RESOLVED,CODE_FIX,intel_pstate=no_hwp else thinkpad t460s freezes on lid close on battery power,2021-05-14 20:16:28
160,160,204367,Power Management,114,srinivas.pandruvada,RESOLVED,DUPLICATE,"[macbookpro (12,1 early 2015)] cpu scaling doesn't work anymore after sleep/wakeup cycle",2019-10-05 20:39:17
161,161,90041,Power Management,78,yu.c.chen,RESOLVED,PATCH_ALREADY_AVAILABLE,intel_pstate: very in low cpu frequency - throttling config corrupted during s3,2017-10-27 17:11:47
162,162,97201,Power Management,78,yu.c.chen,RESOLVED,CODE_FIX,s2disk may fail when nr_file_mapped is high,2018-04-02 18:20:18
163,163,97261,Power Management,114,yu.c.chen,RESOLVED,WILL_NOT_FIX,intel p-state driver does not honor no_turbo with opengl workload,2016-09-22 07:01:30
164,164,117971,Power Management,78,yu.c.chen,RESOLVED,PATCH_ALREADY_AVAILABLE,suspend timeout for sd 0:0:0 caused panic,2016-08-18 08:59:28
167,167,156351,Power Management,1,yu.c.chen,RESOLVED,PATCH_ALREADY_AVAILABLE,acpi_pad generates extra cpu load when policy limit is below current power consumption.,2018-05-04 08:17:06
168,168,156871,Power Management,78,yu.c.chen,RESOLVED,DOCUMENTED,"on resume, skylake fails to enter deep pc states",2017-02-22 17:52:56
169,169,176461,Power Management,78,yu.c.chen,RESOLVED,CODE_FIX,suspend to disk ineffective with high ram usage,2017-06-25 17:09:35
170,170,186211,Power Management,78,yu.c.chen,RESOLVED,DOCUMENTED,pm_parepare_console takes more than 200ms - switch vt during suspend  - (lenovo yoga 900/mac book pro 2015),2016-12-22 03:39:44
171,171,194581,Power Management,78,yu.c.chen,RESOLVED,PATCH_ALREADY_AVAILABLE,[bisected] intel i7-m640: only one cpu core active after resume from suspend(cpufreq_online return -5),2017-03-25 14:13:45
172,172,200595,Power Management,78,yu.c.chen,RESOLVED,INSUFFICIENT_DATA,watchdog fires after s2idle - lenovo x1 yoga 3rd generation,2019-07-22 09:08:05
173,173,200615,Power Management,118,yu.c.chen,RESOLVED,PATCH_ALREADY_AVAILABLE,option to disable frequency scaling below up_threshold (amd phenom ii x6 1045t),2018-12-17 00:43:13
174,174,200759,Power Management,114,yu.c.chen,RESOLVED,PATCH_ALREADY_AVAILABLE,incorrect max cpu frequency when the bios changes the availability of the turbo at runtime,2019-03-11 01:27:33
175,175,200969,Power Management,118,yu.c.chen,RESOLVED,PATCH_ALREADY_AVAILABLE,cpu load comparison against up_threshold is not accurate,2018-12-13 10:47:40
177,177,96521,Power Management,114,yu.c.chen,RESOLVED,CODE_FIX,intel pstate driver calculates frequency incorrectly,2017-09-18 15:33:54
178,178,177761,Power Management,118,linux-pm,VERIFIED,CODE_FIX,[oops] ip: [<ffffffffa017472d>] acpi_cpufreq_target+0x5d/0x240 [acpi_cpufreq],2016-10-26 03:16:54
323,323,187971,Power Management,78,yu.c.chen,DEFERRED,PATCH_ALREADY_AVAILABLE,"18,000ms cpu online during s3 resume -- due to mtrr un-cached --  macbook pro 2015",2020-06-28 15:03:09
324,324,65671,Power Management,118,cpufreq,NEEDINFO, ---,"asus a8v deluxe(amd): hibernation - io errors writing to swap, crashing apps, 3,11.8 worked, unless rmmod powernow_k8",2014-09-09 15:03:34
325,325,13489,Power Management,118,davem,NEEDINFO, ---,"us2e_cpufreq does not work on netra t1 200, ultrasparc iie processor",2014-07-28 01:55:26
326,326,202519,Power Management,78,david.e.box,NEEDINFO, ---,s0ix: low residency in s0ix while suspend - hp elite x2 1013 g3 (kbl),2021-05-22 10:00:31
327,327,210271,Power Management,134,drivers_other,NEEDINFO, ---,irq chip and runtime power management - arm,2021-12-15 05:46:45
328,328,193011,Power Management,115,lenb,NEEDINFO, ---,"cstates: intel_idle.max_cstate=2 required to prevent occasional system freezes - broadwell - 3rd,4th gen thinkpad x1",2019-12-31 05:54:14
329,329,213963,Power Management,115,lenb,NEEDINFO, ---,system crashes on intel core i7-4770 when on intel_idle,2021-12-16 14:50:22
330,330,215456,Power Management,78,mario.limonciello,NEEDINFO, ---,amd ryzen 5 5600h suspend doesn't work,2022-05-06 18:01:07
331,331,215816,Power Management,78,mario.limonciello,NEEDINFO, ---,s2idle immediate wakeup,2022-05-06 18:10:34
332,332,196379,Power Management,1,rjw,NEEDINFO, ---,[amd a6-4440m x2 @ 2.7ghz]  hp pavilion g4-2205la laptop loses performance at random bootups.,2017-08-29 08:28:05
333,333,203791,Power Management,78,rjw,NEEDINFO, ---,s0ix: battery drain during s2idle - thinkpad l390,2022-01-03 20:21:52
334,334,205079,Power Management,78,rjw,NEEDINFO, ---,"nec upd720200 usb 3.0 prevents suspend, sometimes - amd phenom(tm) ii x6 1100t processor",2020-01-02 01:19:19
335,335,213047,Power Management,1,rjw,NEEDINFO, ---,vmd created pci bridge lacks acpi companion device - no d3cold support for nvme,2021-07-19 20:49:00
336,336,215053,Power Management,78,rjw,NEEDINFO, ---,froze on suspending,2022-01-10 09:15:49
337,337,215411,Power Management,78,rjw,NEEDINFO, ---,automatically turns on from suspend often,2022-01-10 09:10:58
338,338,215505,Power Management,78,rjw,NEEDINFO, ---,after upgrading to kernel 5.16.1 computer won't resume from suspend,2022-02-08 19:20:39
339,339,215552,Power Management,78,rjw,NEEDINFO, ---,first suspend after boot always fails on hp pavilion 15-ec1096nf,2022-02-01 18:23:26
340,340,196915,Power Management,78,rui.zhang,NEEDINFO, ---,s0ix: no residency in s0ix - hp x2 210,2021-01-25 08:44:23
341,341,198631,Power Management,78,rui.zhang,NEEDINFO, ---,s0ix: no s0ix residency - asus x205ta,2021-03-22 05:36:08
342,342,201307,Power Management,78,rui.zhang,NEEDINFO, ---,charging state does not change when asus zenbook suspended,2020-06-30 18:24:54
343,343,201761,Power Management,137,rui.zhang,NEEDINFO, ---,"""failed to read out thermal zone"" for wifi thermal zone",2022-05-08 13:52:12
